Unnamed: 0,Rank,Company,Industry,Headquarters City,Country,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Profitable,Female CEO,Sector,Fastest Growing Companies,Change the World,World's Most Admired Companies,Employees,Global 500,slug,CEO,Website,Market value ($M)
216,217,singapore-post,"Mail, Package, and Freight Delivery",Singapore,Singapore,"$1,363.2",10.4%,$18,-70.8%,"$2,135",yes,no,Transportation,no,no,no,"4,900",no,/company/singapore-post/,Vincent Phang Heng Wee,https://www.singpost.com,$742
217,218,hutchison-port-holdings-trust,Shipping,Singapore,Singapore,"$1,358.5",-12.6%,$29.8,-78.8%,"$10,783",yes,no,Transportation,no,no,no,"3,291",no,/company/hph-trust/,,,"$2,863"
218,219,sunway,Real Estate,Subang Jaya,Malaysia,"$1,346.7",13.8%,$161.9,6.3%,"$6,227",yes,no,Business Services,no,no,no,"11,828",no,/company/sunway/,Chew Chee Kin,https://www.sunway.com.my,"$4,148"
219,220,central-pattana,Real Estate,Bangkok,Thailand,"$1,345.4",26.5%,$433.1,40.6%,"$8,148",yes,yes,Business Services,no,no,no,"5,736",no,/company/central-pattana/,Wallaya Chirathivat,https://www.centralpattana.co.th/en,"$7,687"
220,221,fpt-digital-retail,Specialty Retailers: Other,Ho Chi Minh City,Vietnam,"$1,337.1",3.6%,$-14.5,-186.9%,$540,no,no,Retailing,no,no,no,"17,799",no,/company/fpt-digital-retail/,Hoang Trung Kien,https://frt.vn,$866
221,222,hap-seng,Diversified Financials,Kuala Lumpur,Malaysia,"$1,335.7",-17.5%,$175.7,-18.9%,"$4,063",yes,no,Industrials,no,no,no,"10,042",no,/company/hap-seng/,Edward Lee Ming Foo,https://www.hapseng.com.my,"$2,313"
222,223,hoa-sen-group,Metals,Di An,Vietnam,"$1,329.7",-38.4%,$1.3,-88.5%,$715,yes,no,Materials,no,no,no,"7,402",no,/company/hoa-sen-group/,Vu Van Thanh,https://www.hoasengroup.vn,$472
223,224,merdeka-battery-materials,Metals,Jakarta,Indonesia,"$1,328.3",191.5%,$6.9,-68%,"$3,263",yes,no,Materials,no,no,no,"3,284",no,/company/merdeka-battery-materials/,Devin Antonio Ridwan,https://www.merdekabattery.com,"$3,662"
224,225,adhi-karya,Engineering & Construction,Jakarta,Indonesia,"$1,318.5",44.3%,$14.1,156.6%,"$2,630",yes,no,Engineering & Construction,no,no,no,"2,595",no,/company/adhi-karya/,Entus Asnawi Mukhson,https://adhi.co.id,$134
225,226,bangkok-life-assurance,"Insurance: Life, Health (stock)",Bangkok,Thailand,"$1,306.4",-5.3%,$73.3,-20.3%,"$9,489",yes,no,Health Care,no,no,no,"1,150",no,/company/bangkok-life-assurance/,Chone Sophonpanich,https://www.bangkoklife.com,$829
226,227,sats,Diversified Outsourcing Services,Singapore,Singapore,"$1,280.2",46.7%,$-19.3,-227.7%,"$3,516",no,no,Business Services,no,no,no,"15,691",no,/company/sats/,Kerry Mok Tee Heong,https://www.sats.com.sg,"$2,754"
227,228,saigon-beer-alcohol-beverage-(sabeco),Beverages,Ho Chi Minh City,Vietnam,"$1,278.8",-14.5%,$172.9,-22.6%,"$1,404",yes,no,"Food, Beverages & Tobacco",no,no,no,"8,139",no,/company/saigon-beer-alcohol-beverage/,,,"$1,046"
228,229,vietnam-steel,Metals,Hanoi,Vietnam,"$1,272.3",-22.7%,$-10.8,67.2%,$962,no,no,Materials,no,no,no,"11,481",no,/company/vietnam-steel/,Nghiem Xuan Da,https://www.vnsteel.vn,$150
229,230,avarga,Forest and Paper Products,Singapore,Singapore,"$1,266.1",-26.3%,$8.1,-78%,$537,yes,no,Materials,no,no,no,575,no,/company/avarga/,Ian Tong,https://www.avarga.com.sg,$130
230,231,gelex-group,"Electronics, Electrical Equip.",Hanoi,Vietnam,"$1,259.4",-8.2%,$13.9,-12.1%,"$2,270",yes,no,Industrials,no,no,no,"9,468",no,/company/gelex-group/,Nguyen Van Tuan,https://www.gelex.vn,$686
231,232,ppb-group,Diversified Financials,Kuala Lumpur,Malaysia,"$1,255.5",-10.4%,$306,-38.8%,"$6,407",yes,no,"Food, Beverages & Tobacco",no,no,no,"6,000",no,/company/ppb-group/,Lim Soon Huat,https://www.ppbgroup.com,"$4,696"
232,233,asia-aviation,Airlines,Bangkok,Thailand,"$1,235",135.9%,$13.4,105.8%,"$1,974",yes,no,Transportation,no,no,no,"4,962",no,/company/asia-aviation/,Santisuk Klongchaiya,https://www.aavplc.com,$825
233,234,vale-indonesia,Metals,Jakarta,Indonesia,"$1,232.3",4.5%,$274.3,36.9%,"$2,926",yes,yes,Materials,no,no,no,"3,023",no,/company/vale-indonesia/,Febriany Eddy,https://vale.com/home,"$2,604"
234,235,tpi-polene,"Building Materials, Glass",Bangkok,Thailand,"$1,230.9",-10.6%,$92.5,-53.9%,"$4,757",yes,no,Materials,no,no,no,"9,191",no,/company/tpi-polene/,Prachai Leophairatana,https://www.tpipolene.co.th,$700
235,236,siam-city-cement,"Building Materials, Glass",Bangkok,Thailand,"$1,230.6",-14.5%,$77.1,45.2%,"$2,029",yes,no,Materials,no,no,no,"4,307",no,/company/siam-city-cement/,Ranjan Sachdeva,https://www.siamcitycement.com,"$1,117"
236,237,ptpp,Engineering & Construction,Jakarta,Indonesia,"$1,212.8",-5%,$31.6,72.6%,"$3,672",yes,no,Engineering & Construction,no,no,no,"1,780",no,/company/ptpp/,Novel Arsuad,https://www.ptpp.co.id/en,$160
237,238,century-pacific-food,Food Production,Pasig City,Philippines,"$1,207.5",5.4%,$100.4,9.1%,$931,yes,no,"Food, Beverages & Tobacco",no,no,no,"2,725",no,/company/century-pacific-food/,Teodoro Alexander T. Po,https://centurypacific.com.ph,"$2,331"
238,239,brc-asia,Metals,Singapore,Singapore,"$1,203.4",-2.9%,$56,-14.9%,$697,yes,no,Industrials,no,no,no,753,no,/company/brc-asia/,Seah Kiin Peng,https://www.brc.com.sg,$418
239,240,ci-holdings,Beverages,Kuala Lumpur,Malaysia,"$1,191.3",24.5%,$22.4,42.3%,$261,yes,no,"Food, Beverages & Tobacco",no,no,no,644,no,/company/ci-holdings/,Mohammad Bin Alwi,https://www.cih.com.my,$96
240,241,petrovietnam-power,Utilities: Gas and Electric,Hanoi,Vietnam,"$1,189.3",-1.5%,$43.6,-50.6%,"$2,900",yes,no,Engineering & Construction,no,no,no,"2,065",no,/company/petrovietnam-power/,Le Nhu Linh,https://www.pvps.vn,$6
241,242,guan-chong,Food Consumer Products,Pasir Gudang,Malaysia,"$1,167.8",16%,$22.2,-34%,"$1,199",yes,no,"Food, Beverages & Tobacco",no,no,no,"1,444",no,/company/guan-chong/,Brandon Tay Hoe Lian,https://www.gcbcocoa.com,$675
242,243,capitaland-integrated-commercial-trust,Real Estate,Singapore,Singapore,"$1,161.8",11%,$533.1,4.6%,"$18,759",yes,no,Business Services,no,no,no,495,no,/company/capitaland-integ-comm-trust/,,,"$1,824"
243,244,basic-energy,Energy,Mandaluyong City,Philippines,"$1,152.6",-16.1%,$0.8,-55.7%,$537.9,yes,no,Energy,no,no,no,20,no,/company/basic-energy/,Oscar L. de Venecia Jr.,https://www.basicenergy.ph,
244,245,baramulti-suksessarana,"Mining, Crude-Oil Production",Jakarta,Indonesia,"$1,134.3",10.2%,$162.3,-32.4%,$408.5,yes,no,Materials,no,no,no,621,no,/company/baramulti-suksessarana/,Widada,https://www.bssr.co.id,$610
245,246,guocoland,Real Estate,Singapore,Singapore,"$1,132.3",59.4%,$151.8,-47.4%,"$8,881",yes,no,Business Services,no,no,no,510,no,/company/guocoland/,Cheng Hsing Yao,https://www.guocoland.com.sg,"$1,221"
246,247,sarawak-oil-palms,Food Production,Miri,Malaysia,"$1,124.5",-7%,$66,-39.6%,"$1,136",yes,no,"Food, Beverages & Tobacco",no,no,no,"7,734",no,/company/sarawak-oil-palms/,Wong Hee Kwong,https://www.sop.com.my,$570
247,248,bank-pan-indonesia,Commercial Banks,Jakarta,Indonesia,"$1,123.9",5.4%,$166.3,-18.9%,"$14,421",yes,no,Financials,no,no,no,"10,847",no,/company/bank-pan-indonesia/,Herwidayatmo,https://www.panin.co.id,"$1,655"
248,249,sansiri,Real Estate,Bangkok,Thailand,"$1,123.8",12.2%,$174.3,42.3%,"$4,288",yes,no,Business Services,no,no,no,"2,044",no,/company/sansiri/,Uthai Uthaisangsuk,https://www.sansiri.com,$789
249,250,gajah-tunggal,Motor Vehicles & Parts,Jakarta,Indonesia,"$1,114.7",-3.7%,$77.6,734.3%,"$1,233",yes,no,Motor Vehicles & Parts,no,no,no,"16,990",no,/company/gajah-tunggal/,Sugeng Rahardjo,https://www.gt-tires.com,$250
250,251,lippo-karawaci,Real Estate,Tangerang,Indonesia,"$1,106.6",11.8%,$3.3,101.8%,"$3,220",yes,no,Business Services,no,no,no,"17,130",no,/company/lippo-karawaci/,John Riady,https://www.lippokarawaci.co.id,$284
251,252,capitaland-ascendas-reit,Real Estate,Singapore,Singapore,"$1,102.1",12.3%,$487.4,1.1%,"$13,856",yes,no,Business Services,no,no,no,51,no,/company/capitaland-ascendas-reit/,William Tay Wee Leong,https://www.capitaland-ascendasreit.com,"$8,376"
252,253,mobifone,Telecommunications,Hanoi,Vietnam,"$1,101.2",-12.7%,$82.1,-1.3%,"$1,351",yes,no,Telecommunications,no,no,no,"11,391",no,/company/mobifone/,Manh Cuong To,https://www.mobifone.com.vn,$7
253,254,saha-pathanapibul,Specialty Retailers: Other,Bangkok,Thailand,"$1,099.8",8.4%,$64.3,38%,"$1,101",yes,no,Household Products,no,no,no,"1,540",no,/company/saha-pathanapibul/,Boonchai Chokwatana,https://www.sahapat.co.th,$558
254,255,ap-thailand,Homebuilders,Bangkok,Thailand,"$1,094",-0.8%,$174.1,3.5%,"$2,444",yes,no,Business Services,no,no,no,"3,171",no,/company/ap-thailand/,Anuphong Assavabhokhin,https://www.apthai.com,$916
255,256,ch-karnchang,Engineering & Construction,Bangkok,Thailand,"$1,091.4",94%,$43.2,36.5%,"$2,816",yes,no,Engineering & Construction,no,no,no,"1,434",no,/company/ch-karnchang/,Plew Trivisvavet,https://www.ch-karnchang.co.th,"$1,037"
256,257,catur-sentosa-adiprana,Wholesalers: Diversified,Jakarta,Indonesia,"$1,080.8",3.7%,$12,-25.7%,$735,yes,no,Retailing,no,no,no,"9,268",no,/company/catur-sentosa-adiprana/,Budyanto Totong,https://www.csahome.com,$184
257,258,malaysia-airports-holdings,Airlines,Sepang,Malaysia,"$1,078.5",51.4%,$119.2,179.6%,"$4,456",yes,no,Transportation,no,no,no,631,no,/company/malaysia-airports-holdings/,Mohamed Rastam Shahrom,https://www.malaysiaairports.com.my,"$3,499"
258,259,pabrik-kertas-tjiwi-kimia,Forest and Paper Products,Jakarta,Indonesia,"$1,073.8",-6.1%,$172,-62.9%,"$3,610",yes,no,Materials,no,no,no,"5,300",no,/company/pabrik-kertas-tjiwi-kimia/,Suhendra Wiriadinata,https://tjiwikimia.co.id,"$1,502"
259,260,kiatnakin-phatra-bank,Commercial Banks,Bangkok,Thailand,"$1,069.3",16.3%,$156.5,-28.1%,"$15,876",yes,no,Financials,no,no,no,"3,907",no,/company/kiatnakin-phatra-bank/,Aphinant Klewpatinond,https://bank.kkpfg.com,"$1,188"
260,261,bank-bjb,Commercial Banks,Bandung,Indonesia,"$1,062.8",3.2%,$116.8,-24.8%,"$12,231",yes,no,Financials,no,no,no,"7,300",no,/company/bank-bjb/,Yuddy Renaldi,https://www.bankbjb.co.id,$658
261,262,synnex-thailand,Wholesalers: Electronics and Office Equipment,Bangkok,Thailand,"$1,050.5",-6%,$14.8,-36.8%,$402,yes,yes,Wholesaler,no,no,no,861,no,/company/synnex-thailand/,Sutida Mongkolsuthree,https://www.synnex.co.th,$267
262,263,thanh-thanh-cong-bien-hoa,Food Production,Tan Chau,Vietnam,"$1,044.4",30.4%,$22.7,-40.7%,"$1,270",yes,no,"Food, Beverages & Tobacco",no,no,no,"2,452",no,/company/thanh-thanh-cong-bien-hoa/,Nguyen Thanh Ngu,https://www.ttcsugar.com.vn,$319
263,264,sapura-energy,"Oil and Gas Equipment, Services",Seri Kembangan,Malaysia,"$1,033.8",4.7%,$-717.2,67.1%,"$2,980",no,no,Energy,no,no,no,"2,439",no,/company/sapura-energy/,Mohd Anuar Taib,https://www.sapuraenergy.com,$173
264,265,ijm,Engineering & Construction,Petaling Jaya,Malaysia,"$1,028.7",-2.6%,$35.6,-81.3%,"$4,651",yes,no,Engineering & Construction,no,no,no,"3,289",no,/company/ijm/,Lee Chun Fai,https://www.ijm.com,"$1,780"
265,266,mnc-asia-holding,Entertainment,Jakarta,Indonesia,"$1,028.6",-15.7%,$20.1,-59.1%,"$4,573",yes,no,Media,no,no,no,"11,423",no,/company/mnc-asia-holding/,Hary Tanoesoedibjo,https://www.mncgroup.com,$258
266,267,security-bank,Commercial Banks,Makati City,Philippines,"$1,027.9",18.9%,$163.8,-15.7%,"$15,734",yes,no,Financials,no,no,no,"8,189",no,/company/security-bank/,Sanjiv Vohra,https://www.securitybank.com,$931
267,268,vs-industry,"Electronics, Electrical Equip",Senai,Malaysia,"$1,024.1",11%,$39.8,-1.2%,$897,yes,no,Industrials,no,no,no,"11,755",no,/company/vs-industry/,Gan Sem Yam,https://www.vs-i.com,$729
268,269,sheng-siong-group,General Merchandisers,Singapore,Singapore,"$1,018.7",4.8%,$99.5,3.2%,$630,yes,no,Retailing,no,no,no,"3,422",no,/company/sheng-siong-group/,Lim Hock Chee,https://www.shengsiong.com.sg,"$1,709"
269,270,bumitama-agri,Food Production,Jakarta Selatan,Indonesia,"$1,014.3",-5%,$160.9,-15.6%,"$1,249",yes,no,"Food, Beverages & Tobacco",no,no,no,"32,831",no,/company/bumitama-agri/,Lim Gunawan Hariyanto,https://www.bumitama-agri.com,$890
270,271,tunas-baru-lampung,Food Production,Jakarta,Indonesia,"$1,006.1",-10%,$40.2,-25.6%,"$1,681",yes,no,"Food, Beverages & Tobacco",no,no,no,"2,835",no,/company/tunas-baru-lampung/,Widarto,https://www.tunasbarulampung.com,$230
271,272,agc-vinythai,Chemicals,Mueang Rayong,Thailand,"$1,002.6",-27.7%,$99.7,-54.7%,"$1,486",yes,no,Materials,no,no,no,"1,195",no,/company/agc-vinythai/,Tomotaka Yoshikawa,https://www.agcvinythai.com/,$953
272,273,sinarmas-land,Real Estate,Singapore,Singapore,$999,10.7%,$203,-18.6%,"$6,014",yes,no,Business Services,no,no,no,"4,040",no,/company/sinarmas-land/,Muktar Widjaja,https://www.sinarmasland.com,$480
273,274,bank-islam-malaysia,Commercial Banks,Kuala Lumpur,Malaysia,$994.1,22%,$121.4,8.4%,"$19,817",yes,no,Financials,no,no,no,"4,908",no,/company/bank-islam-malaysia/,Mohd Muazzam Mohamed,https://www.bankislam.com,"$1,217"
274,275,thai-vegetable-oil,Food Production,Bangkok,Thailand,$983.2,-12.1%,$21.1,-54.3%,$381,yes,no,"Food, Beverages & Tobacco",no,no,no,"1,214",no,/company/thai-vegetable-oil/,Pachai Chanpitaksa,https://www.tvothai.com,$475
275,276,first-resources,Food Production,Singapore,Singapore,$980.6,-20%,$145.4,-55.3%,"$1,775",yes,no,"Food, Beverages & Tobacco",no,no,no,"27,761",no,/company/first-resources/,Ciliandra Fangiono,https://www.first-resources.com,"$1,608"
276,277,affin-bank,Commercial Banks,Kuala Lumpur,Malaysia,$978.8,25.3%,$88.3,-67.1%,"$22,930",yes,no,Financials,no,no,no,"5,485",no,/company/affin-bank/,Wan Razly Abdullah,https://www.affinbank.com.my,"$1,255"
277,278,vietnam-maritime-bank-(msb),Commercial Banks,Hanoi,Vietnam,$972,31.4%,$195,-1.3%,"$11,006",yes,no,Financials,no,no,no,"6,308",no,/company/vietnam-maritime-bank/,,,"$2,818"
278,279,goto,Internet Services and Retailing,Jakarta,Indonesia,$971.2,26.9%,"$-5,937.5",-122.5%,"$3,514",no,no,Transportation,no,yes,no,"7,522",no,/company/goto/,Sugito Walujo,https://www.gotocompany.com,"$4,173"
279,280,susco,"Oil and Gas Equipment, Services",Bangkok,Thailand,$969.2,0.3%,$35.3,192.5%,$286,yes,no,Energy,no,no,no,"2,517",no,/company/susco/,Chairit Simaroj,https://www.susco.co.th,$108
280,281,vietnam-southern-food,Food Production,Ho Chi Minh City,Vietnam,$966.9,30.6%,$1,348.7%,$257,yes,no,"Food, Beverages & Tobacco",no,no,no,"1,398",no,/company/vietnam-southern-food/,Tran Tan Duc,https://www.vinafood2.com.vn,$632
281,282,global-digital-niaga,Internet Services and Retailing,Kudus,Indonesia,$966.7,-6.1%,$-239.2,35.6%,$834,no,no,Technology,no,no,no,"2,075",no,/company/global-digital-niaga/,Kusumo Martanto,https://www.blibli.com,"$3,585"
282,283,sp-setia,Real Estate,Shah Alam,Malaysia,$959.9,-5.4%,$116.8,176.4%,"$6,319",yes,no,Business Services,no,no,no,"1,852",no,/company/sp-setia/,Choong Kai Wai,https://www.spsetia.com/en-us/,"$1,416"
283,284,mr-diy-group,Specialty Retailers: Other,Seri Kembangan,Malaysia,$956.7,5.4%,$123.1,14.2%,$774,yes,no,Retailing,no,no,no,"18,000",no,/company/mr-diy-group/,Adrian Chu Jin Ong,https://www.mrdiy.com,"$3,091"
284,285,metrod-holdings,"Electronics, Electrical Equip.",Klang,Malaysia,$956.3,1.3%,$2.6,-33.2%,$400,yes,no,Industrials,no,no,no,985,no,/company/metrod-holdings/,Rajan Mittal,https://www.metrod.com,$38
285,286,synergy-grid-&-development,Utilities: Gas and Electric,Pasig,Philippines,$953.4,-16.2%,$191.5,-30.7%,"$8,416",yes,no,Energy,no,no,no,10,no,/company/synergy-grid-development/,,,"$2,473"
286,287,seabank,Commercial Banks,Hanoi,Vietnam,$951.3,18.9%,$155.9,-12.1%,"$9,643",yes,no,Financials,no,no,no,"5,158",no,/company/seabank/,Le Quoc Long,https://www.seabank.com.vn/,"$2,167"
287,288,siam-global-house,Specialty Retailers: Other,Mueang Roi Et,Thailand,$949.3,-7.8%,$77,-23.2%,"$1,137",yes,no,Retailing,no,no,no,"10,985",no,/company/siam-global-house/,Witoon Suriyawanakun,https://globalhouse.co.th/,"$2,273"
288,289,paninvest,"Insurance: Life, Health (Mutual)",Jakarta,Indonesia,$946.6,-6.4%,$13.1,-89.5%,"$15,349",yes,no,Health Care,no,no,no,"11,162",no,/company/paninvest/,Paulus Indra Intan,https://www.paninvest.co.id,$216
289,290,tigaraksa-satria,Wholesalers: Food and Grocery,Jakarta,Indonesia,$933.4,6.6%,$30,-6.9%,$297,yes,yes,Wholesaler,no,no,no,"2,072",no,/company/tigaraksa-satria/,Lianne Widjaja,https://www.tigaraksa.co.id,$375
290,291,vietnam-rubber-group,Forest and Paper Products,Ho Chi Minh City,Vietnam,$929.4,-14.5%,$110.1,-33.7%,"$3,218",yes,no,Materials,no,no,no,"83,000",no,/company/vietnam-rubber-group/,Le Thanh Hung,https://vnrubbergroup.com,"$3,289"
291,292,harum-energy,"Mining, Crude-Oil Production",Jakarta,Indonesia,$925.5,2.3%,$151,-49.9%,"$1,633",yes,no,Materials,no,no,no,785,no,/company/harum-energy/,Ray Antonio Gunara,https://www.harumenergy.com,"$1,158"
292,293,prima-andalan-mandiri,"Mining, Crude-Oil Production",Jakarta,Indonesia,$917.1,-13.9%,$227.8,-35.3%,$745,yes,no,Materials,no,no,no,"2,065",no,/company/prima-andalan-mandiri/,Handy Glivirgo,https://www.mandiricoal.co.id,
293,294,supalai,Homebuilders,Bangkok,Thailand,$914.9,-9.9%,$172.2,-26.4%,"$2,507",yes,no,Business Services,no,no,no,"1,439",no,/company/supalai/,Prateep Tangmatitham,https://www.supalai.com,"$1,043"
294,295,mitra-pinasthika-mustika,"Automotive Retailing, Services",Jakarta,Indonesia,$910.3,5.9%,$34.5,-22.7%,$559,yes,no,Motor Vehicles & Parts,no,no,no,"1,586",no,/company/mitra-pinasthika-mustika/,Suwito Mawarwati,https://www.mpmgroup.co.id,$278
295,296,energy-absolute,Energy,Bangkok,Thailand,$908.6,15.3%,$218.7,0.5%,"$3,325",yes,no,Energy,no,no,no,257,no,/company/energy-absolute/,Somphote Ahunai,https://www.energyabsolute.co.th,"$3,080"
296,297,dohome,Specialty Retailers: Other,Ubon Ratchathani,Thailand,$907.9,0.6%,$16.8,-24%,$989,yes,no,Retailing,no,no,no,"7,636",no,/company/dohome/,Adisak Tangmitrphracha,https://www.dohome.co.th,$941
297,298,scientex,Chemicals,Shah Alam,Malaysia,$906.2,-3.5%,$97.4,0.9%,"$1,221",yes,no,Materials,no,no,no,"3,990",no,/company/scientex/,Lim Peng Jin,https://www.scientex.com.my,"$1,366"
298,299,tipco-asphalt,Chemicals,Bangkok,Thailand,$901.5,-6.6%,$66.3,-2.1%,$689,yes,no,Materials,no,no,no,"2,030",no,/company/tipco-asphalt/,Chaiwat Srivalwat,https://www.tipcoasphalt.com,$681
299,300,nam-a-bank,Commercial Banks,Ho Chi Minh City,Vietnam,$883.9,48%,$110.1,42.3%,"$8,652",yes,no,Financials,no,no,no,"5,322",no,/company/nam-a-bank/,Tran Khai Hoan,https://www.namabank.com.vn,
300,301,singapore-exchange,Financial Data Services,Singapore,Singapore,$875.7,8.3%,$418.6,26.1%,"$2,796",yes,no,Financials,no,no,no,"1,205",no,/company/singapore-exchange/,Loh Boon Chye,https://www.sgx.com,"$7,340"
301,302,saigon-general-service,"Automotive Retailing, Services",Ho Chi Minh City,Vietnam,$874.8,-4%,$1.2,-91.6%,$296,yes,no,Retailing,no,no,no,"4,529",no,/company/saigon-general-service/,Ho Viet Ha,https://savico.com.vn,$68
302,303,aapico-hitech,Motor Vehicles & Parts,Ayutthaya,Thailand,$873.8,7.7%,$46.3,-11.3%,$736,yes,no,Motor Vehicles & Parts,no,no,no,"5,900",no,/company/aapico-hitech/,Yeap Swee Chuan,https://www.aapico.com,$206
303,304,land-and-houses,Real Estate,Bangkok,Thailand,$867.5,-14.2%,$215.1,-9.6%,"$3,840",yes,no,Business Services,no,no,no,724,no,/company/land-and-houses/,Shih Jiing-Fuh,https://www.lh.co.th,"$2,401"
304,305,astro-malaysia-holdings,Entertainment,Kuala Lumpur,Malaysia,$863.2,-14.1%,$58.8,-47%,"$1,337",yes,no,Media,no,no,no,"3,460",no,/company/astro-malaysia-holdings/,Euan Smith,https://www.astro.com.my,$334
305,306,tempo-scan-pacific,Pharmaceuticals,Jakarta,Indonesia,$861.8,4.3%,$77.3,14.5%,$735,yes,no,Health Care,no,no,no,"4,540",no,/company/tempo-scan-pacific/,I Made Dharma Wijaya,https://www.temposcangroup.com,$539
306,307,bloomberry-resorts,"Hotels, Casinos, Resorts",Paranaque City,Philippines,$861.6,20.7%,$171.4,80.1%,"$2,892",yes,no,"Hotels, Restaurants & Leisure",no,no,no,"6,772",no,/company/bloomberry-resorts/,Enrique Klar Razon Jr,https://www.bloomberry.ph,"$2,060"
307,308,aurora-design,Specialty Retailers: Other,Bangkok,Thailand,$859.1,1.5%,$24.4,20.6%,$390,yes,no,Retailing,no,no,no,"2,059",no,/company/aurora-design/,Aniwat Srirungthum,https://www.aurora.co.th,$486
308,309,sino-thai-engineering,Engineering & Construction,Bangkok,Thailand,$858.1,-1.9%,$15.2,-38.2%,"$1,381",yes,no,Engineering & Construction,no,no,no,"1,593",no,/company/sino-thai-engineering/,Pakpoom Srichamni,https://www.stecon.co.th,$440
309,310,hartadinata-abadi,Specialty Retailers: Other,Bandung,Indonesia,$844.5,81%,$20.1,17.5%,$327,yes,yes,Wholesaler,no,no,no,"1,404",no,/company/hartadinata-abadi/,Sandra Sunanto,https://www.hartadinataabadi.co.id,$115
310,311,airports-corporation-of-vietnam,Airlines,Ho Chi Minh City,Vietnam,$839.6,42.2%,$355.2,14.8%,"$2,776",yes,no,Transportation,no,no,no,"9,820",no,/company/airports-corp-vietnam/,,,"$2,104"
311,312,gp-industries,"Electronics, Electrical Equip",Singapore,Singapore,$837.4,-7.7%,$16.1,-45.9%,"$1,032",yes,no,Industrials,no,no,no,"6,620",no,/company/gp-industries/,Victor Lo Chung Wing,https://www.gp-industries.com,$179
312,313,thanh-le-general,Petroleum Refining,Binh Duong,Vietnam,$836.9,-23.3%,$4.7,218.1%,$378,yes,no,Energy,no,no,no,"2,452",no,/company/thanh-le-general/,Pham Thi Bang Trang,,$61
313,314,mnrb-holdings,"Insurance: Life, Health (stock)",Kuala Lumpur,Malaysia,$835.3,7%,$26.9,-2%,"$2,802",yes,no,Financials,no,no,no,"1,042",no,/company/mnrb-holdings/,Zaharudin Daud,https://www.mnrb.com.my,$287
314,315,acleda-bank,Commercial Banks,Phnom Penh,Cambodia,$826.1,11.5%,$148.4,-18.5%,"$9,792",yes,no,Financials,no,no,no,"13,503",no,/company/acleda-bank/,Raksmey Nguon,https://www.acledabank.com.kh,"$2,190"
315,316,viettel-post,"Mail, Package, and Freight Delivery",Hanoi,Vietnam,$822.3,-11.1%,$16,45.8%,$265,yes,no,Transportation,no,no,no,"17,830",no,/company/viettel-post/,Hoang Trung Thanh,https://en.viettelpost.com.vn,$368
316,317,bank-mega,Commercial Banks,Jakarta,Indonesia,$821.4,5.3%,$230.6,-15.6%,"$8,577",yes,no,Financials,no,no,no,"6,244",no,/company/bank-mega/,Kostaman Thayib,https://www.bankmega.com,"$3,800"
317,318,hour-glass,Specialty Retailers: Other,Singapore,Singapore,$817.6,6.7%,$125.5,9.4%,$794,yes,no,Retailing,no,no,no,248,no,/company/hour-glass/,Michael Tay Wee Jin,https://www.thehourglass.com,$762
318,319,petrovietnam-technical,"Oil and Gas Equipment, Services",Ho Chi Minh City,Vietnam,$813.3,16.2%,$43.1,1.8%,"$1,089",yes,no,Energy,no,no,no,"7,209",no,/company/petrovietnam-technical/,Le Manh Cuong,https://www.ptsc.com.vn,$749
319,320,sumber-global-energy,"Mining, Crude-Oil Production",Jakarta,Indonesia,$808.8,14.8%,$45.2,10.6%,$297,yes,no,Materials,no,no,no,46,no,/company/sumber-global-energy/,Welly Thomas,https://www.sumberglobalenergy.co.id,$530
320,321,thai-president-foods,Food Production,Bangkok,Thailand,$803.5,4.6%,$108.6,36.2%,"$1,332",yes,no,"Food, Beverages & Tobacco",no,no,no,"6,200",no,/company/thai-president-foods/,Pipat Paniangvait,https://www.mama.co.th,"$1,850"
321,322,bermaz-auto,"Automotive Retailing, Services",Shah Alam,Malaysia,$796.9,43.3%,$68.8,85.5%,$401,yes,no,Retailing,no,no,no,985,no,/company/bermaz-auto/,Lee Kok Chuan,https://www.bauto.com.my,$566
322,323,sis-distribution-thailand,Wholesalers: Electronics and Office Equipment,Bangkok,Thailand,$796.8,-4.2%,$18.6,-5.8%,$297,yes,no,Wholesaler,no,no,no,797,no,/company/sis-distribution-thailand/,Somchai  Sittichaisrichart,https://www.sisthai.com,$262
323,324,malindo-feedmill,Food Production,Jakarta,Indonesia,$792,5.8%,$4.2,135%,$358,yes,no,"Food, Beverages & Tobacco",no,no,no,"3,616",no,/company/malindo-feedmill/,Lau Tuang Nguang,https://www.malindofeedmill.com,$74
324,325,digiworld,Wholesalers: Electronics and Office Equipment,Ho Chi Minh City,Vietnam,$790,-16.2%,$14.9,-49.1%,$307,yes,no,Wholesaler,no,no,no,811,no,/company/digiworld/,Doan Hong Viet,https://digiworld.com.vn,$389
325,326,indo-rama-synthetics,Chemicals,Jakarta,Indonesia,$785.6,-16.1%,$-40.8,-195.9%,$821,no,no,Wholesaler,no,no,no,"7,474",no,/company/indo-rama-synthetics/,Vishnu Swaroop Baldwa,https://www.indorama.com,$129
326,327,nam-kim-steel,Metals,Thu Dau Mot,Vietnam,$780.7,-20.9%,$4.9,192.5%,$504,yes,no,Materials,no,no,no,"1,336",no,/company/nam-kim-steel/,Vo Hoang Vu,https://namkimgroup.vn,$228
